title,movieId,budget
Johnny Mnemonic,9886,25000000
Judge Dredd,9482,90000000
Jury Duty,19326,0
Kids,9344,1500000
Living in Oblivion,9071,500000
Lord of Illusions,8973,0
Love & Human Remains,15730,0
Mad Love,47608,0
Mallrats,2293,6000000
Mighty Morphin Power Rangers: The Movie,9070,15000000
Moonlight and Valentino,68274,0
Mute Witness,48787,2
Nadja,34574,0
The Net,1642,22000000
Nine Months,11472,0
Party Girl,36196,150000
The Prophecy,11980,8
Reckless,58372,0
Safe,32646,0
The Scarlet Letter,10533,50000000
The Show,56088,0
Showgirls,10802,45000000
Smoke,10149,7000000
Something to Talk About,18402,0
Species,9348,35000000
The Stars Fell on Henrietta,139408,0
Strange Days,281,42000000
The Umbrellas of Cherbourg,5967,0
The Tie That Binds,79593,14000000
Three Wishes,47939,0
Total Eclipse,36834,0
"To Wong Foo, Thanks for Everything! Julie Newmar",9090,0
Under Siege 2: Dark Territory,3512,60000000
Unstrung Heroes,52856,0
Unzipped,77350,0
A Walk in the Clouds,9560,20000000
Waterworld,9804,175000000
White Man's Burden,31611,8000000
Wild Bill,65796,30000000
The Browning Version,49805,0
Bushwhacked,26258,0
Burnt by the Sun,50797,2800000
Before the Rain,19155,0
Before Sunrise,76,2500000
Billy Madison,11017,10000000
The Babysitter,37141,0
Boys on the Side,9382,21000000
The Cure,6715,0
Castle Freak,18256,0
Circle of Friends,22625,0
Clerks,2292,27000
Don Juan DeMarco,1909,25000000
Disclosure,8984,55000000
Dream Man,61813,0
Drop Zone,4954,45000000
Destiny Turns on the Radio,62488,0
Death and the Maiden,10531,0
Dolores Claiborne,11929,0
Dumb and Dumber,8467,16000000
Eat Drink Man Woman,10451,0
Exotica,20156,0
Exit to Eden,18395,0
Ed Wood,522,18000000
French Kiss,397,0
Forget Paris,10525,0
Far from Home: The Adventures of Yellow Dog,27985,0
A Goofy Movie,15789,0
Hideaway,27303,15000000
Fluke,21183,0
Farinelli,10954,0
Gordy,47867,0
Gumby: The Movie,43475,0
The Glass Shield,72031,0
Hoop Dreams,14275,700000
Heavenly Creatures,1024,5000000
Houseguest,17207,10500000
Immortal Beloved,13701,120
Heavyweights,14819,0
The Hunted,32631,0
I.Q.,11777,25000000
Interview with the Vampire,628,60000000
Jefferson in Paris,87729,14000000
The Jerky Boys,18713,0
Junior,6280,60000000
Just Cause,9061,0
A Kid in King Arthur's Court,37108,0
Kiss of Death,6071,40000000
Star Wars,11,11000000
Little Women,9587,18000000
A Little Princess,19101,17000000
Ladybird Ladybird,49980,0
L'Enfer,17961,10000000
Like Water for Chocolate,18183,2000000
Legends of the Fall,4476,30000000
Major Payne,11008,0
Little Odessa,47504,0
Mi Vida Loca,32325,0
Love Affair,43742,60000000
Losing Isaiah,28313,17000000
The Madness of King George,11318,0
Mary Shelley's Frankenstein,3036,45000000
Man of the House,40490,0
Mixed Nuts,24070,15000000
Milk Money,8986,0
Miracle on 34th Street,10510,0
Miami Rhapsody,17402,6
My Family,38722,5500000
Murder in the First,8438,0
Nobody's Fool,11593,0
Nell,1945,31000000
New Jersey Drive,39310,0
New York Cop,109560,0
Beyond Bedlam,56428,4800000
Nemesis 2 - Nebula,63105,0
Nina Takes a Lover,131957,0
Natural Born Killers,241,34000000
Only You,9058,0
Once Were Warriors,527,0
Poison Ivy II: Lily,18220,0
Outbreak,6950,50000000
Leon: The Professional,101,16000000
The Perez Family,63020,11000000
A Pyromaniac's Love Story,2307,0
Pulp Fiction,680,8000000
Panther,41478,0
Pushing Hands,25296,400000
Priest,40156,0
Quiz Show,11450,0
Picture Bride,30304,0
Queen Margot,10452,0
The Quick and the Dead,12106,32000000
Roommates,161495,22000000
Prêt-à-Porter,3586,15000000
Three Colors: Red,110,0
Three Colors: Blue,108,0
Three Colors: White,109,0
"Red Firecracker, Green Firecracker",159185,0
Rent-a-Kid,36357,0
Relative Fear,92769,0
Stuart Saves His Family,28033,0
The Swan Princess,22586,35000000
The Secret of Roan Inish,14334,0
The Specialist,2636,45000000
Stargate,2164,55000000
The Santa Clause,11395,22000000
The Shawshank Redemption,278,25000000
Shallow Grave,9905,0
Suture,87078,0
Strawberry and Chocolate,12527,0
Swimming with Sharks,20306,0
The Sum of Us,36614,32
Senior Trip,27993,0
To Live,31439,0
Tank Girl,9067,25000000
Tales from the Crypt: Demon Knight,9059,0
Star Trek: Generations,193,38000000
Tales from the Hood,25066,6000000
Tom & Viv,46797,0
Village of the Damned,12122,0
Tommy Boy,11381,0
Vanya on 42nd Street,32636,0
The Underneath,36141,6500000
The Walking Dead,95963,0
What's Eating Gilbert Grape,1587,11000000
Virtuosity,9271,30000000
While You Were Sleeping,2064,17000000
The War,19855,0
Double Happiness,60855,0
Muriel's Wedding,236,3000000
The Baby-Sitters Club,48287,0
Ace Ventura: Pet Detective,3049,15000000
"The Adventures of Priscilla, Queen of the Desert",2759,0
Backbeat,12635,0
Bitter Moon,10497,5000000
Bullets Over Broadway,11382,0
Clear and Present Danger,9331,62000000
The Client,10731,45000000
"Corrina, Corrina",10464,0
Crooklyn,34152,0
The Crow,9495,15000000
Cobb,29973,0
The Flintstones,888,46000000
Forrest Gump,13,55000000
Four Weddings and a Funeral,712,6000000
Higher Learning,16295,0
I Like It Like That,48992,0
I Love Trouble,10879,45000000
It Could Happen to You,10660,0
The Jungle Book,10714,0
"The Wonderful, Horrible Life of Leni Riefenstahl",41647,0
The Lion King,8587,45000000
Little Buddha,1689,35000000
New Nightmare,11596,14000000
The Mask,854,23000000
Maverick,9359,0
Mrs. Parker and the Vicious Circle,23333,0
The Naked Gun 33⅓: The Final Insult,36593,30000000
The Paper,12280,6000000
Reality Bites,2788,11500000
Red Rock West,10427,8000000
Ri¢hie Ri¢h,11011,40000000
Safe Passage,49803,0
The River Wild,8987,45000000
Speed,1637,30000000
Speechless,15128,0
Timecop,8831,27000000
True Lies,36955,115000000
When a Man Loves a Woman,10449,0
Wolf,10395,0
Wyatt Earp,12160,63000000
Bad Company,40480,0
A Man of No Importance,52038,0
S.F.W.,29444,0
A Low Down Dirty Shame,26352,10000000
"Boys Life: Three Stories of Love, Lust, and Liberation",39953,0
Colonel Chabert,41580,0
"Faster, Pussycat! Kill! Kill!",315,45000
Jason's Lyric,22067,7000000
The Secret Adventures of Tom Thumb,18242,0
Street Fighter,11667,35000000
Coldblooded,32502,0
Desert Winds,267188,0
Fall Time,28732,0
The Fear,75555,0
Frank and Ollie,42981,0
Girl in the Cadillac,278939,0
Homage,291731,0
Mirage,226229,0
Open Season,203119,0
Dos Crímenes,172923,0
Brother Minister: The Assassination of Malcolm X,316098,0
Highlander: The Final Dimension,8011,26000000
Federal Hill,171857,0
In the Mouth of Madness,2654,8000000
8 Seconds,18069,0
Above the Rim,19092,0
Addams Family Values,2758,0
Martin Lawrence: You So Crazy,38129,0
The Age of Innocence,10436,34000000
Airheads,13595,0
The Air Up There,46094,17080000
Another Stakeout,9409,0
Bad Girls,11853,0
Barcelona,16771,3200000
Being Human,46924,40000000
The Beverly Hillbillies,11041,0
Beverly Hills Cop III,306,50000000
Black Beauty,14522,0
Blink,26203,0
Blown Away,178,0
Blue Chips,19819,0
Blue Sky,57834,0
Body Snatchers,4722,13000000
Boxing Helena,18215,0
A Bronx Tale,1607,22000000
Cabin Boy,26391,0
Calendar Girl,117553,13000000
Carlito's Way,6075,30000000
City Slickers II: The Legend of Curly's Gold,11310,0
Clean Slate,18658,0
Cliffhanger,9350,70000000
Coneheads,9612,0
Color of Night,2124,40000000
Cops & Robbersons,26261,0
The Cowboy Way,19176,0
Dangerous Game,49299,0
Dave,11566,0
Dazed and Confused,9571,6900000
Demolition Man,9739,57000000
The Endless Summer 2,24257,0
Even Cowgirls Get the Blues,34444,8000000
Fatal Instinct,26141,0
Farewell My Concubine,10997,0
The Favor,50463,0
Fearless,10443,0
Fear of a Black Hat,20239,0
With Honors,16297,0
Flesh and Bone,18551,0
Widows' Peak,25440,0
For Love or Money,9024,30000000
The Firm,37233,42000000
Free Willy,1634,20000000
Fresh,13815,0
The Fugitive,5503,44000000
Geronimo: An American Legend,35588,35000000
The Getaway,2087,0
Getting Even with Dad,41579,30000000
Go Fish,18620,0
A Good Man in Africa,41006,0
Guilty as Sin,4916,0
Hard Target,2019,18000000
Heaven & Earth,31642,33000000
Hot Shots! Part Deux,9255,25000000
Live Nude Girls,26271,0
The Englishman Who Went Up a Hill But Came Down a Mountain,10612,0
The House of the Spirits,2259,25000000
House Party 3,16097,0
The Hudsucker Proxy,11934,30000000
I'll Do Anything,106143,40000000
In the Army Now,12475,0
In the Line of Fire,9386,40000000
In the Name of the Father,7984,13000000
The Inkwell,59930,0
What's Love Got to Do with It,15765,0
Jimmy Hollywood,31643,30000000
Judgment Night,6,0
Jurassic Park,329,63000000
Kalifornia,10909,9000000
Killing Zoe,507,1500000
King of the Hill,34024,0
Lassie,29918,0
Last Action Hero,9593,85000000
Life With Mikey,42580,0
Lightning Jack,22317,0
M. Butterfly,1413,0
Made in America,12121,22000000
Malice,2246,0
The Man without a Face,10502,0
Manhattan Murder Mystery,10440,13500000
Menace II Society,9516,3500000
Executive Decision,2320,55000000
In the Realm of the Senses,5879,0
What Happened Was...,83718,0
Much Ado About Nothing,11971,8000000
Mr. Jones,2625,0
Mr. Wonderful,31911,0
Mrs. Doubtfire,788,25000000
Naked,21450,0
The Next Karate Kid,11231,12000000
The New Age,41588,0
No Escape,10447,20000000
North,31586,40000000
Orlando,9300,4000000
A Perfect World,9559,30000000
Philadelphia,9800,26000000
The Piano,713,7000000
Poetic Justice,8291,14000000
The Program,18133,0
The Puppet Masters,25557,0
Radioland Murders,22588,0
The Ref,10872,11000000
The Remains of the Day,1245,11500000
Renaissance Man,11858,40000000
Rising Sun,7007,0
The Road to Wellville,10467,0
RoboCop 3,5550,22000000
Robin Hood: Men in Tights,8005,20000000
Romeo Is Bleeding,2088,11500000
Romper Stomper,10412,0
Ruby in Paradise,47889,800000
Rudy,14534,12000000
The Saint of Fort Washington,56583,0
Savage Nights,41878,0
Schindler's List,424,22000000
The Scout,35233,0
Searching for Bobby Fischer,14291,0
Second Best,103413,0
The Secret Garden,11236,0
Serial Mom,11592,13000000
The Shadow,8850,25000000
Shadowlands,10445,22000000
Short Cuts,695,0
A Simple Twist of Fate,43535,0
Sirens,12519,0
Six Degrees of Separation,23210,0
Sleepless in Seattle,858,21000000
Sliver,867,40000000
Blade Runner,78,28000000
Son in Law,13203,0
So I Married an Axe Murderer,10442,20000000
Striking Distance,11074,30
Harem,33367,0
Super Mario Bros.,9607,48000000
Surviving the Game,17585,7400000
Terminal Velocity,9057,50000000
Thirty Two Short Films About Glenn Gould,20967,0
Threesome,10635,0
The Nightmare Before Christmas,9479,18000000
The Three Musketeers,10057,30000000
Tombstone,11969,25000000
Trial by Jury,41590,0
True Romance,319,12500000
The War Room,26408,0
The Pagemaster,15139,27000000
"Paris, France",161158,0
"The Beans of Egypt, Maine",218473,0
Killer,85247,0
Welcome to the Dollhouse,11446,0
Germinal,51980,0
Chasers,24405,0
Cronos,11655,0
Naked in New York,11800,0
Kika,8223,0
Bhaji on the Beach,14587,0
Little Big League,31504,0
The Slingshot,41653,0
Wide Eyed and Legless,53185,0
Foreign Student,95743,0
"Ciao, Professore!",23637,0
Spanking the Monkey,17600,200000
The Little Rascals,10897,0
À la mode,349394,0
Andre,21352,0
The Escort,68806,0
Princess Caraboo,37345,0
The Celluloid Closet,32562,0
Café au Lait,47507,0
Dear Diary,25403,0
I Don't Want to Talk About It,124304,0
The Brady Bunch Movie,9066,0
Home Alone,771,18000000
Ghost,251,22000000
Aladdin,812,28000000
Terminator 2: Judgment Day,280,100000000
Dances with Wolves,581,22000000
Tough and Deadly,80350,0
Batman,268,35000000
The Silence of the Lambs,274,19000000
Snow White and the Seven Dwarfs,408,1488423
Beauty and the Beast,10020,25000000
Pinocchio,10895,2600000
Pretty Woman,114,14000000
Window to Paris,41043,0
The Wild Bunch,576,6244087
Love and a .45,15477,0
The Wooden Man's Bride,59146,0
A Great Day in Harlem,124472,0
Bye Bye Love,30528,0
One Fine Day,7300,0
Candyman: Farewell to the Flesh,10824,0
Century,261246,0
Fargo,275,7000000
Homeward Bound II: Lost in San Francisco,25059,0
Heavy Metal,11827,9300000
Hellraiser: Bloodline,8766,4000000
The Pallbearer,23570,8000000
Jane Eyre,47333,0
Loaded,54850,500000
Bread and Chocolate,51242,0
The Aristocats,10112,4000000
The Flower of My Secret,4307,0
Two Much,46029,0
Ed,32308,0
Scream of Stone,88893,0
My Favorite Season,52873,0
A Modern Affair,123505,0
Condition Red,340210,0
Halfaouine: Boy of the Terraces,44281,0
A Thin Line Between Love and Hate,28121,0
The Last Supper,12520,0
Primal Fear,1592,30000000
Rude,166901,0
Carried Away,36447,0
All Dogs Go to Heaven 2,19042,0
Land and Freedom,38884,0
Denise Calls Up,47449,0
Theodore Rex,36259,33500000
A Family Thing,41852,0
Frisk,40926,0
Sgt. Bilko,9099,0
Jack & Sarah,2021,0
Girl 6,61752,12000000
Diabolique,10988,0
"Little Indian, Big City",11479,0
Roula,398959,0
Peanuts – Die Bank zahlt alles,287305,0
Happy Weekend,339428,0
Nelly and Monsieur Arnaud,12652,0
Courage Under Fire,10684,46000000
Mission: Impossible,954,80000000
Cold Fever,68445,0
Moll Flanders,18989,0
The Superwife,10801,0
"301, 302",54285,0
DragonHeart,8840,57000000
Und keiner weint mir nach,278978,0
My Mother's Courage,124625,0
Eddie,11107,0
Yankee Zulu,16417,0
Billy's Holiday,70934,0
Purple Noon,10363,0
August,161070,0
James and the Giant Peach,10539,38000000
Fear,10543,0
Kids in the Hall: Brain Candy,18414,0
Faithful,47502,13000000
Underground,11902,14000000
All Things Fair,27098,0
Bloodsport II,25087,0
Pather Panchali,5801,0
The World of Apu,896,0
Mystery Science Theater 3000: The Movie,3065,0
Tarantella,318177,0
Space Jam,2300,80000000
Barbarella,8069,9000000
Hostile Intentions,288173,0
They Bite,187851,0
Some Folks Call It a Sling Blade,27768,0
The Run of the Country,221917,0
Alphaville,8072,220000
Coup de Torchon,35797,0
Tigrero: A Film That Was Never Made,88030,0
The Eye of Vichy,185191,0
Windows,83857,0
It's My Party,33245,0
Country Life,124460,0
Operation Dumbo Drop,27281,0
The Promise,105045,0
Mrs. Winterbourne,40001,25000000
Solo,29621,0
Under The Domim Tree,117730,0
The Substitute,20762,0
True Crime,37144,0
Butterfly Kiss,48260,0
Feeling Minnesota,12656,0
Delta of Venus,38867,0
To Cross the Rubicon,277270,0
Angus,25969,0
Priest Daens,44103,0
Faces,753,275000
Boys,43634,0
The Quest,9103,30000000
Cosi,90214,0
Sunset Park,29649,0
Mulholland Falls,10990,0
The Truth About Cats & Dogs,8866,0
Oliver & Company,12233,31000000
Celtic Pride,23449,0
Flipper,36355,25530000
Captives,37667,0
Of Love and Shadows,90148,0
Dead Man,922,9000000
The Horseman on the Roof,11876,35000000
Switchblade Sisters,52633,0
Mouth to Mouth,62364,0
The Visitors,11687,0
Multiplicity,9304,45000000
"The Haunted World of Edward D. Wood, Jr.",73183,0
Two Friends,131232,0
The Craft,9100,15000000
The Great White Hype,20759,0
Last Dance,46063,0
War Stories Our Mother Never Told Us,365371,0
Cold Comfort Farm,32513,0
"Institute Benjamenta, or This Dream People Call Human Life",40651,0
Heaven's Prisoners,36915,25000000
Original Gangstas,40507,4800000
The Rock,9802,75000000
Getting Away with Murder,25697,0
Cemetery Man,21588,4000000
Twister,664,92000000
Barb Wire,11867,0
Le Garçu,47119,0
Honeymoon,314352,0
Ghost in the Shell,9323,0
Thinner,10280,0
Spy Hard,10535,18000000
Brothers in Trouble,124613,0
A Close Shave,532,0
Force of Evil,26744,0
The Stupids,16299,0
The Arrival,10547,25000000
The Man from Down Under,245268,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,1800000
Careful,55613,0
Vermont Is for Lovers,215107,0
A Month by the Lake,41007,0
Gold Diggers: The Secret of Bear Mountain,35645,0
Kim,110465,0
Carmen Miranda: Bananas Is My Business,255546,0
Ashes of Time,40751,0
The Jar,275096,0
Maya Lin: A Strong Clear Vision,85778,0
Stalingrad,11101,0
The Phantom,9826,45000000
Striptease,9879,50000000
The Last of the High Kings,63564,0
Heavy,22621,0
Jack,7095,45000000
I Shot Andy Warhol,26890,0
The Grass Harp,46732,0
Someone Else's America,124633,0
Life is Rosy,202425,0
Quartier Mozart,196940,0
Touki Bouki,77771,0
God's Gift,181083,0
Spirits of the Dead,41225,0
Babyfever,188589,0
Pharaoh's  Army,87190,50
Trainspotting,627,4000000
Til There Was You,32872,1000000
Independence Day,602,75000000
Stealing Beauty,14553,0
The Fan,9566,55000000
The Hunchback of Notre Dame,10545,100000000
The Cable Guy,9894,47000000
Kingpin,11543,27000000
Eraser,9268,100000000
The Gate of Heavenly Peace,52059,0
The Nutty Professor,9327,54000000
"I, the Worst of All",123763,0
An Unforgettable Summer,81949,0
A Hungarian Fairy Tale,42005,0
My Life and Times With Antonin Artaud,124306,0
Midnight Dancers,183955,0
Somebody to Love,44535,0
A Very Natural Thing,44495,0
The Old Lady Who Walked in the Sea,78285,0
Daylight,11228,80000000
The Frighteners,10779,30000000
Lone Star,26748,5000000
Harriet the Spy,38223,12000000
Phenomenon,9294,32000000
Walking and Talking,49963,0
She's the One,11363,3500000
A Time to Kill,1645,40000000
American Buffalo,31546,0
Rendezvous in Paris,77056,0
Alaska,36344,23000000
Fled,18550,25000000
Kazaam,11511,20000000
Magic Hunter,172198,0
Larger Than Life,34170,30000000
A Boy Called Hate,281085,0
Power 98,109478,0
Two Deaths,124645,0
A Very Brady Sequel,12606,0
Stefano Quantestorie,69895,0
Death in the Garden,35206,0
Hedd Wyn,151489,0
La Collectionneuse,4837,0
Kaspar Hauser,12632,0
Regular Guys,9098,0
Diebinnen,282919,0
The Convent,124614,0
The Adventures of Pinocchio,18975,0
Joe's Apartment,11962,13000000
The First Wives Club,2925,26000000
Stonewall,28628,0
Ransom,3595,80000000
High School High,9308,0
Phat Beach,92381,0
Foxfire,18555,0
Chain Reaction,12123,50000000
Matilda,10830,36000000
Emma,3573,6000000
The Crow: City of Angels,10546,13000000
House Arrest,18862,0
Eyes Without a Face,31417,0
Bordello of Blood,9431,15000000
Lotto Land,124619,0
The Story of Xinghua,297645,0
The Day the Sun Turned Cold,48144,0
Flirt,46986,0
The Big Squeeze,144982,0
The Spitfire Grill,47907,6000000
Escape from L.A.,10061,50000000
Cyclo,36266,0
Basquiat,549,2962051
Tin Cup,10478,45000000
Dingo,66634,200000
The Ballad of Narayama,116690,0
Every Other Weekend,213917,0
Mille bolle blu,145925,0
Crows and Sparrows,100914,0
The Godfather,238,6000000
Maybe... Maybe Not,159,0
Police Story 3: Supercop,11134,900000
Manny & Lo,88224,500000
Wife,132641,0
Small Faces,42758,1850000
Bound,9303,4500000
Carpool,23945,17000000
Death in Brunswick,37820,0
Kansas City,22479,18000000
Gone Fishin',9054,53000000
Lover's Knot,241058,0
Vive L'Amour,11985,0
Shadow of Angels,10232,0
Killer: A Journal of Murder,59569,0
Nothing to Lose,410921,0
Project S,38955,0
Girls Town,110513,0
Bye-Bye,114089,0
The Relic,11015,60000000
The Island of Dr. Moreau,9306,40000000
First Kid,12559,0
The Trigger Effect,58770,8000000
Sweet Nothing,124851,0
Bogus,3587,32000000
Bulletproof,10723,25000000
Talk of Angels,56077,0
The Land Before Time III: The Time of the Great Giving,19004,0
1-900,101230,0
Baton Rouge,253632,0
Halloween: The Curse of Michael Myers,10987,5000000
Twelfth Night,44705,0
Mother Night,20318,0
Liebelei,43596,0
Venice,79782,0
Wild Reeds,26933,0
For Whom the Bell Tolls,27854,3000000
The Philadelphia Story,981,0
Singin' in the Rain,872,2540800
An American in Paris,2769,2723903
Funny Face,13320,0
Breakfast at Tiffany's,164,2500000
Vertigo,426,2479000
Rear Window,567,1000000
It Happened One Night,3078,325000
Gaslight,13528,2068000
The Gay Divorcee,28288,520000
North by Northwest,213,4000000
The Apartment,284,3000000
Some Like It Hot,239,2883848
Charade,4808,4000000
Casablanca,289,878000
The Maltese Falcon,963,375000
My Fair Lady,11113,17000000
Sabrina,6620,2238813
Roman Holiday,804,1500000
The Little Princess,26531,0
Meet Me in St. Louis,909,0
The Wizard of Oz,630,2777000
Gone with the Wind,770,4000000
My Favorite Year,31044,0
Sunset Boulevard,599,1752000
Citizen Kane,15,839727
2001: A Space Odyssey,62,10500000
Golden Earrings,121357,0
All About Eve,705,1400000
The Women,22490,1688000
Rebecca,223,1288000
Foreign Correspondent,25670,0
Notorious,303,2000000
Spellbound,4174,1500000
An Affair to Remember,8356,0
To Catch a Thief,381,2500000
Father of the Bride,20758,0
The Band Wagon,29376,0
Ninotchka,1859,1365000
Love in the Afternoon,18299,0
Gigi,17281,0
The Reluctant Debutante,64382,0
The Adventures of Robin Hood,10907,2033000
The Mark of Zorro,32093,0
Laura,1939,1020000
The Ghost and Mrs. Muir,22292,0
Lost Horizon,3598,4000000
Top Hat,3080,609000
To Be or Not to Be,198,0
My Man Godfrey,13562,0
Giant,1712,5400000
East of Eden,220,1
The Thin Man,3529,226408
His Girl Friday,3085,0
Around the World in Eighty Days,2897,6000000
It's a Wonderful Life,1585,3180000
Mr. Smith Goes to Washington,3083,1500000
Bringing Up Baby,900,1073000
Penny Serenade,43795,0
The Scarlet Letter,85638,0
Lady of Burlesque,50001,0
Of Human Bondage,43905,0
Angel on My Shoulder,22688,0
Little Lord Fauntleroy,23114,0
They Made Me a Criminal,26378,0
The Inspector General,40206,0
Angel and the Badman,22356,0
The 39 Steps,260,0
A Walk in the Sun,43488,0
The Outlaw,22613,0
Night of the Living Dead,10331,114000
The African Queen,488,1300000
Beat the Devil,22733,1000000
Cat on a Hot Tin Roof,261,3000000
The Last Time I Saw Paris,57575,0
Meet John Doe,32574,0
Algiers,22657,0
Something to Sing About,76464,0
A Farewell to Arms,22649,4
Moonlight Murder,176841,0
Nothing Personal,125587,0
"Yes, Madam",39448,0
Dangerous Ground,52855,0
Picnic,39940,0
Madagascar Skin,172868,0
The Pompatus of Love,85328,0
Small Wonders,124632,0
Fly Away Home,11076,0
Bliss,63945,0
Grace of My Heart,58985,0
Brother of Sleep,890,0
Maximum Risk,10861,25000000
Michael Collins,1770,28000000
The Rich Man's Wife,44465,0
Infinity,2033,0
Big Night,18203,0
Last Man Standing,9333,67000000
Caught,47260,0
Set It Off,9400,9000000
2 Days in the Valley,9401,0
Curdled,12241,2300000
L'associé,25739,0
Ed's Next Move,161806,0
Extreme Measures,11306,38000000
The Glimmer Man,9625,45000000
D3: The Mighty Ducks,10680,0
The Chamber,6346,50000000
The Apple Dumpling Gang,18660,0
"Davy Crockett, King of the Wild Frontier",35115,0
Escape to Witch Mountain,14821,0
The Love Bug,14136,0
Herbie Rides Again,10869,0
Old Yeller,22660,0
The Parent Trap,19186,0
Pollyanna,31102,0
Homeward Bound: The Incredible Journey,6878,0
The Shaggy Dog,15944,0
